Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17",1206,2,10uF,
"C10, C12",1206,2,1uF,
"C11, C14, C15, C18, C2, C7, C8, C9",1206,8,0.1uF,
"C13, C5",1206,2,10nF,
"C16, C6",1206,2,180uF,
"C19, C20, C3, C4",1210,4,22uF,
F1,1206,1,4A,
"IC1, IC3",SOIC-8-DDA-DRV8231_TEX,2,DRV8251ADDAR,
"IC2, IC4",TSOT-23-6_HandSoldering,2,AP63205WU-7,
"J1, J2, J3",SHDR2W70P0X500_1X2_1000X750X1150P,3,691137710002,
J2A1,STM_Nucleo_Morpho_x2_Footprint,1,SSW-119-01-T-D,
J4,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
"L1, L2",L_Wuerth_XHMI-6060,2,4.7uH,
"R1, R3",1206,2,0Ω,
"R2, R7",1206,2,750Ω,
"TP1, TP2",5019,2,5019,
