Designator,Mid X,Mid Y,Rotation,Layer
C1,159.0,-96.0375,270.0,top
C10,126.8,-65.82,0.0,top
C11,126.8625,-52.37,0.0,top
C12,126.8625,-55.12,0.0,top
C13,125.96665,-109.0,90.0,top
C14,120.26665,-104.7,180.0,top
C15,111.06665,-105.4625,90.0,top
C16,114.41665,-105.4625,90.0,top
C17,139.95,-96.3275,270.0,top
C18,146.65,-96.5275,270.0,top
C19,144.75,-90.5275,270.0,top
C2,165.4,-96.6,90.0,top
C20,141.05,-90.5275,270.0,top
C3,163.8,-90.4375,270.0,top
C4,160.4,-90.4375,270.0,top
C5,177.47585,-109.765,270.0,top
C6,188.2,-112.8,270.0,top
C7,183.17585,-114.265,0.0,top
C8,191.0,-112.8,270.0,top
C9,126.8,-63.02,0.0,top
F1,165.65,-115.0,90.0,top
IC1,120.3425,-108.895,90.0,top
IC2,162.2,-96.0375,90.0,top
IC3,182.9,-109.8,270.0,top
IC4,143.25,-96.3275,90.0,top
J1,158.1,-116.3,180.0,top
J2,191.3,-104.2,270.0,top
J2A1,151.15,-70.56,0.0,top
J3,111.76665,-113.8,90.0,top
J4,142.475,-114.175,90.0,top
L1,162.7,-103.5,270.0,top
L2,143.85,-103.89,270.0,top
R1,128.96665,-109.0,270.0,top
R2,120.26665,-113.3,180.0,top
R3,174.67585,-109.765,90.0,top
R7,182.97585,-105.365,0.0,top
TP1,156.35,-104.09,270.0,top
TP2,137.45,-104.49,270.0,top
